calories,proteins,fat,carbohydrate
277.0,2.4,25.0,10.7
28.0,1.1,0.2,5.5
748.0,20.8,20.8,124.8
127.0,1.2,0.5,29.5
190.0,3.3,0.3,43.5
70.0,1.0,3.0,10.0
41.0,3.5,2.5,5.0
351.0,8.0,1.3,76.9
317.0,15.7,27.7,0.0
460.0,0.8,18.7,17.2
46.7,17.3,17.3,81.3
342.0,16.0,0.4,65.6
474.0,11.2,42.5,11.7
99.0,1.7,0.3,22.4
416.0,6.5,9.4,76.3
375.0,12.5,16.67,62.5
116.0,22.0,3.2,0.0
500.0,10.0,20.0,70.0
100.0,5.56,2.78,14.4
102.0,3.2,6.0,8.7
63.0,0.5,0.2,16.7
363.0,1.1,0.5,88.2
110.0,1.0,6.0,16.0
464.29,0.0,17.86,39.29
117.0,13.7,5.0,4.3
347.0,48.8,6.4,19.6
50.0,0.56,1.94,7.78
152.0,17.6,6.1,6.7
143.0,3.1,7.8,15.0
248.85,7.88,9.93,30.84
428.0,10.0,14.2,65.0
450.0,10.0,20.0,70.0
24.0,1.9,0.2,3.7
250.0,0.0,2.5,0.0
90.0,1.0,30.0,14.0
95.0,15.8,0.7,6.5
107.69,1.54,2.31,21.54
307.0,7.9,3.4,63.6
160.0,3.7,1.3,55.3
129.0,20.0,4.8,0.0
55.0,4.0,0.5,8.5
140.0,3.0,3.5,23.0
289.0,8.89,4.44,51.1
42.0,3.9,1.7,2.8
75.0,13.8,1.9,0.7
363.0,7.6,1.1,78.3
65.0,0.5,3.0,8.0
539.0,6.3,30.9,57.5
407.0,6.4,28.2,32.0
144.0,12.0,10.2,0.0
100.0,0.7,0.3,23.8
114.0,7.0,0.6,20.8
324.0,4.2,34.3,5.6
87.0,8.0,2.0,11.9
90.0,0.0,0.0,23.0
443.0,15.0,18.0,48.0
52.0,1.1,0.4,11.2
45.0,0.9,0.2,11.2
170.0,31.0,4.2,0.0
400.0,5.0,40.0,50.0
200.0,8.0,1.0,40.0
366.0,9.8,7.3,69.1
104.0,12.9,6.8,1.2
70.0,1.0,0.25,15.0
120.0,14.3,4.9,4.6
62.0,3.7,0.3,11.1
157.0,28.0,4.2,0.0
270.0,8.11,4.05,47.3
335.0,7.4,1.9,76.2
440.0,3.8,18.5,64.5
297.0,7.69,8.79,47.3
195.0,13.6,13.6,1.4
132.0,17.0,6.6,1.1
45.0,4.4,8.0,0.5
40.0,3.7,0.3,8.0
23.0,1.2,0.2,3.5
382.0,8.0,2.3,79.2
254.0,3.0,1.1,58.1
395.0,3.2,8.5,76.5
330.0,23.8,1.4,60.2
110.0,16.3,4.6,0.8
428.57,7.14,7.14,82.14
90.0,0.0,0.0,22.0
355.0,17.8,4.6,60.7
237.0,14.7,0.2,56.0
370.0,16.0,6.0,65.0
128.0,8.0,10.0,1.3
525.0,27.9,42.7,17.4
420.0,1.0,7.0,88.0
80.0,2.0,25.0,11.0
495.69,5.3,23.0,65.0
367.0,6.67,0.0,83.3
1.0,5.7,14.2,27.2
46.0,2.8,0.2,8.2
600.0,13.33,36.67,50.0
142.0,27.0,3.0,0.0
289.0,11.0,4.0,61.0
96.0,3.7,0.6,19.1
79.0,2.3,5.2,5.8
137.0,6.1,3.2,21.0
276.0,3.2,3.2,30.2
328.0,12.6,19.9,24.6
75.0,5.6,0.4,12.2
100.0,16.6,3.3,1.0
64.0,0.6,0.3,14.8
73.0,1.36,1.82,13.18
80.0,0.0,0.0,19.0
336.0,20.7,1.4,62.0
291.0,0.5,4.0,63.4
433.0,55.0,9.0,0.0
380.0,8.0,14.0,54.0
24.0,0.0,0.0,6.0
320.0,3.5,5.7,63.7
302.0,70.7,1.9,0.4
261.0,27.4,16.1,1.6
23.0,1.8,0.3,4.5
61.0,6.1,0.9,10.0
87.0,5.3,5.2,6.3
529.0,20.8,31.7,40.2
34.0,4.1,0.4,5.8
389.0,16.9,35.0,0.3
636.0,19.0,63.0,8.0
125.0,8.3,0.7,22.1
400.0,23.3,11.7,50.0
134.0,2.5,3.0,28.0
17.0,1.7,0.3,3.0
479.0,12.7,23.2,58.9
45.0,0.0,0.0,11.0
359.0,11.5,6.8,64.4
207.0,7.4,15.4,9.6
367.0,15.9,6.2,61.8
20.0,1.0,0.2,3.5
52.0,1.8,3.6,3.0
63.0,0.6,0.6,15.6
24.0,0.0,0.0,6.4
376.0,5.9,1.6,82.0
136.0,2.0,4.0,23.0
29.0,3.0,0.3,5.4
127.0,5.9,6.6,11.0
161.0,7.7,2.8,27.1
14.29,0.0,0.0,3.71
10.0,0.0,0.0,2.0
350.0,17.1,1.8,70.7
105.0,16.6,3.3,1.0
429.0,11.9,14.3,61.9
64.0,12.0,1.0,2.0
284.0,34.1,9.9,14.6
344.0,12.5,2.1,69.4
144.0,12.7,1.2,25.2
316.0,60.1,6.5,22.4
134.0,25.5,1.3,5.0
53.0,1.6,1.6,8.8
116.67,1.67,5.0,16.67
70.0,1.0,0.0,16.0
229.0,4.6,10.2,29.5
20.0,0.0,0.0,5.0
260.0,2.0,15.0,53.0
45.0,3.7,0.5,6.6
133.0,0.67,4.67,48.7
5.0,0.0,0.0,2.0
68.0,0.7,0.1,18.0
70.0,2.9,0.3,13.9
129.0,12.4,0.7,18.3
30.0,3.6,0.6,4.5
52.0,0.0,0.0,12.0
170.0,2.0,10.0,18.0
0.0,6.67,16.7,73.3
268.0,12.0,5.5,41.0
48.0,1.0,0.2,11.9
386.0,86.0,3.6,2.5
23.0,1.8,0.1,4.9
477.0,4.7,20.5,68.5
102.0,3.7,6.7,6.9
71.1,2.22,2.22,10.7
178.0,2.1,0.1,40.6
478.0,2.5,21.2,69.2
145.0,16.3,7.0,4.1
106.0,16.5,3.3,2.5
57.8,3.11,3.11,4.44
96.0,1.0,0.2,22.5
480.0,12.0,24.0,60.0
523.0,3.2,28.2,64.2
280.0,16.7,1.6,63.2
382.0,0.3,3.5,87.2
37.0,1.0,0.6,8.3
0.48,7.41,22.22,62.96
240.0,6.0,2.7,49.3
478.0,0.9,20.7,72.0
14.29,0.0,0.0,3.71
378.0,59.5,5.95,21.6
57.0,5.4,2.6,3.1
36.0,3.5,0.1,5.1
60.0,4.0,0.4,4.7
127.0,2.1,0.3,31.1
150.0,6.0,11.0,8.0
100.0,2.0,5.0,12.0
286.0,7.0,10.0,42.0
153.0,30.0,2.8,0.0
657.0,15.0,66.0,13.0
100.0,5.0,7.0,4.0
277.0,60.0,2.3,1.8
405.0,1.0,17.0,63.0
48.0,1.4,4.2,2.6
131.0,1.1,0.2,31.3
720.0,0.6,81.0,0.4
204.0,2.6,20.0,4.0
120.0,10.0,6.0,5.0
519.0,7.41,25.9,63.0
356.0,0.4,0.5,90.6
336.0,8.2,10.0,55.0
326.0,22.8,20.3,13.1
75.0,8.2,2.0,6.0
30.0,1.0,1.0,3.0
56.0,3.1,0.3,13.0
130.0,6.7,0.3,25.2
180.0,3.0,0.3,39.8
60.0,5.1,0.5,8.5
18.0,1.0,0.2,3.8
289.0,38.0,14.0,0.0
346.0,16.6,1.7,66.1
146.7,5.9,5.9,19.7
149.0,16.6,9.2,0.0
148.0,10.0,9.8,5.0
71.0,4.1,2.1,12.3
356.0,8.0,25.0,41.0
390.0,9.2,16.1,66.7
189.0,11.3,15.7,0.6
353.0,0.8,1.7,83.6
29.0,0.7,0.6,5.0
129.0,4.1,1.3,30.3
0.39,25.0,1.5,8.0
360.0,4.7,0.1,82.1
130.0,3.0,2.0,24.0
110.0,2.9,9.5,3.2
37.0,3.1,0.2,7.9
78.0,14.5,0.6,3.7
50.0,2.0,6.0,7.0
207.0,18.8,14.0,0.0
37.0,0.8,0.5,8.3
494.0,7.5,36.4,40.1
280.0,8.2,10.2,39.0
98.0,21.9,1.1,0.0
445.0,9.9,20.7,50.9
550.0,5.0,30.0,60.0
902.0,0.0,100.0,0.0
60.0,0.0,0.0,15.0
116.0,3.0,0.4,28.6
74.0,25.2,1.7,0.0
148.0,13.8,8.5,4.0
60.0,3.2,3.2,4.8
175.0,1.8,1.8,35.0
364.0,0.1,0.2,90.5
93.0,12.8,1.5,6.1
170.0,5.0,2.5,39.0
250.0,5.0,10.0,35.0
144.0,17.5,6.3,4.3
400.0,29.3,5.33,60.0
147.0,5.1,0.7,31.5
425.0,12.5,12.5,67.5
34.0,0.9,1.0,6.7
271.43,4.29,15.71,28.57
11.0,0.0,0.0,2.7
336.0,23.1,1.7,59.5
560.0,4.0,32.0,60.0
201.0,20.8,8.8,13.5
224.0,26.2,11.3,4.4
265.3,4.7,5.5,49.3
327.0,8.41,10.3,51.4
46.0,3.0,0.3,7.9
500.0,4.55,20.5,72.7
448.0,2.7,18.8,67.1
52.0,0.0,0.0,13.2
120.0,5.0,7.0,10.0
350.0,20.0,0.0,65.0
80.0,1.0,3.0,13.0
25.0,2.3,0.2,3.5
302.0,18.2,25.0,0.0
158.0,4.4,3.2,27.8
60.0,0.67,0.33,14.0
20.0,0.0,0.0,4.89
332.35,23.04,6.0,48.77
504.0,5.5,52.9,29.2
500.0,9.62,24.25,59.75
464.29,7.14,21.43,67.86
70.0,10.8,0.7,5.2
73.0,6.8,1.2,13.0
24.0,0.0,0.0,6.0
166.3,2.7,3.9,29.5
60.9,1.74,2.61,8.7
126.0,1.6,0.2,24.5
68.0,2.0,1.0,15.2
355.0,9.0,8.2,62.0
447.76,11.94,19.4,4.48
342.0,2.63,10.5,55.3
29.0,1.1,0.3,6.6
485.0,11.5,24.5,59.1
163.0,3.0,0.4,35.7
500.0,10.0,20.0,70.0
307.0,4.8,0.1,71.8
240.0,8.0,40.0,52.0
338.89,5.56,0.0,77.78
88.0,14.2,0.7,6.2
