id,calories,proteins,fat,carbohydrate,name,image
1,431.0,8.3,14.7,62.9,Crunchy Oat Granola Tropical Fruits,https://images.openfoodfacts.org/images/products/501/047/734/6032/front_en.20.400.jpg
2,227.26,4.57,10.11,29.37,Indo mie mi goreng instant noodle,https://images.openfoodfacts.org/images/products/008/968/617/0726/front_en.18.400.jpg
3,475.0,8.75,21.2,61.2,Fried noodles Mi Goreng,https://images.openfoodfacts.org/images/products/008/968/612/0714/front_en.32.400.jpg
4,65.0,0.6,3.2,8.1,Oat Milk,https://images.openfoodfacts.org/images/products/899/724/060/0041/front_en.9.400.jpg
5,29.2,0.0,0.0,7.5,Teh Pucuk Melati,https://images.openfoodfacts.org/images/products/899/600/160/0146/front_id.21.400.jpg
6,227.26,4.57,10.11,29.37,Mi Goreng Instant Fried Noodles,https://images.openfoodfacts.org/images/products/008/968/617/0924/front_id.27.400.jpg
7,515.0,5.6,27.3,61.7,Pringles Sour Cream & Onion,https://images.openfoodfacts.org/images/products/888/646/710/0024/front_id.35.400.jpg
8,365.0,7.0,0.8,85.0,Kelloggs Corn Flakes E-1B,https://images.openfoodfacts.org/images/products/885/275/630/3056/front_id.35.400.jpg
9,520.0,4.0,28.0,60.0,Pringles,https://images.openfoodfacts.org/images/products/888/646/710/0017/front_en.41.400.jpg
10,523.0,9.5,23.8,66.7,Pocky strawberry,No Image Available
11,12.4,0.0,0.0,3.1,POCARI SWEAT 500 ml,https://images.openfoodfacts.org/images/products/899/703/556/3414/front_id.4.400.jpg
12,445.0,9.9,20.7,50.9,"Carman's Super Berry Muesli Bars (Cranberry, Blueberry & Goji)",https://images.openfoodfacts.org/images/products/931/913/333/3574/front_en.26.400.jpg
13,463.0,11.0,17.5,64.1,Noodles Chicken,https://images.openfoodfacts.org/images/products/899/496/300/2824/front_en.20.400.jpg
14,420.0,9.0,17.0,57.0,Mi Goreng Perisa Asli,https://images.openfoodfacts.org/images/products/899/886/620/0301/front_en.73.400.jpg
15,453.6,9.5,18.2,68.1,Pocky,https://images.openfoodfacts.org/images/products/885/101/921/0117/front_fr.11.400.jpg
16,500.0,9.62,24.25,59.75,Mi goreng Fried Noodles,https://images.openfoodfacts.org/images/products/008/968/617/0733/front_en.19.400.jpg
17,100.0,1.0,5.0,13.0,Malkist crackers,https://images.openfoodfacts.org/images/products/899/600/130/2026/front_en.16.400.jpg
18,50.0,0.0,0.0,13.0,Teh kotak teh melati,https://images.openfoodfacts.org/images/products/899/800/904/0023/front_en.15.400.jpg
19,478.0,8.7,19.6,69.6,Roma bisc kelapa 300G,https://images.openfoodfacts.org/images/products/899/600/130/1142/front_id.16.400.jpg
20,60.0,3.2,3.2,4.8,Ultra Milk 1 liter,https://images.openfoodfacts.org/images/products/899/800/901/0613/front_en.30.400.jpg
21,484.0,6.5,22.2,64.7,Ghost pepper,https://images.openfoodfacts.org/images/products/955/706/232/1662/front_en.10.400.jpg
22,500.0,5.0,25.0,65.0,beng-beng,https://images.openfoodfacts.org/images/products/899/600/135/4124/front_en.18.400.jpg
23,63.5,3.17,3.7,4.76,Bear Brand milk susu steril,https://images.openfoodfacts.org/images/products/899/269/640/4441/front_id.16.400.jpg
